Location,Period,Indicator,SkilledProf,MortRate
Azerbaijan,2016,Births attended by skilled health personnel (%),99.8,26
Azerbaijan,2015,Births attended by skilled health personnel (%),99.8,27
Azerbaijan,2014,Births attended by skilled health personnel (%),99.9,28
Azerbaijan,2013,Births attended by skilled health personnel (%),99.9,28
Azerbaijan,2012,Births attended by skilled health personnel (%),99.8,29
Azerbaijan,2011,Births attended by skilled health personnel (%),99.7,30
Azerbaijan,2010,Births attended by skilled health personnel (%),99.4,31
Azerbaijan,2009,Births attended by skilled health personnel (%),99.8,32
Azerbaijan,2008,Births attended by skilled health personnel (%),98,32
Azerbaijan,2007,Births attended by skilled health personnel (%),93,34
Azerbaijan,2006,Births attended by skilled health personnel (%),95.8,35
Azerbaijan,2005,Births attended by skilled health personnel (%),94.4,42
Azerbaijan,2004,Births attended by skilled health personnel (%),95.9,39
Azerbaijan,2003,Births attended by skilled health personnel (%),95.8,44
Azerbaijan,2002,Births attended by skilled health personnel (%),94,43
Azerbaijan,2001,Births attended by skilled health personnel (%),94,44
Azerbaijan,2000,Births attended by skilled health personnel (%),92.1,47
Bahamas,2016,Births attended by skilled health personnel (%),99,72
Bahamas,2015,Births attended by skilled health personnel (%),98,74
Bahamas,2014,Births attended by skilled health personnel (%),99.9,77
Bahamas,2013,Births attended by skilled health personnel (%),98,78
Bahamas,2011,Births attended by skilled health personnel (%),99,78
Bahamas,2010,Births attended by skilled health personnel (%),99,78
Bahamas,2008,Births attended by skilled health personnel (%),99,77
Bahamas,2007,Births attended by skilled health personnel (%),99,77
Bahamas,2006,Births attended by skilled health personnel (%),99,78
Bahamas,2004,Births attended by skilled health personnel (%),98,78
Bahamas,2003,Births attended by skilled health personnel (%),99,79
Bahamas,2002,Births attended by skilled health personnel (%),99,78
Bahamas,2000,Births attended by skilled health personnel (%),99,75
Bahrain,2017,Births attended by skilled health personnel (%),99.9,14
Bahrain,2016,Births attended by skilled health personnel (%),99.7,15
Bahrain,2015,Births attended by skilled health personnel (%),99.9,15
Bahrain,2014,Births attended by skilled health personnel (%),99.8,15
Bahrain,2013,Births attended by skilled health personnel (%),99.8,17
Bahrain,2012,Births attended by skilled health personnel (%),99.8,18
Bahrain,2011,Births attended by skilled health personnel (%),99.6,15
Bahrain,2010,Births attended by skilled health personnel (%),99.3,18
Bahrain,2009,Births attended by skilled health personnel (%),99.4,19
Bahrain,2008,Births attended by skilled health personnel (%),97.5,18
Bahrain,2007,Births attended by skilled health personnel (%),97.4,16
Bahrain,2006,Births attended by skilled health personnel (%),97.5,24
Bahrain,2005,Births attended by skilled health personnel (%),97.5,19
Bahrain,2004,Births attended by skilled health personnel (%),97.7,21
Bahrain,2003,Births attended by skilled health personnel (%),97.8,21
Bahrain,2002,Births attended by skilled health personnel (%),97.6,25
Bahrain,2001,Births attended by skilled health personnel (%),97.5,19
Bahrain,2000,Births attended by skilled health personnel (%),97.7,27
Bangladesh,2017,Births attended by skilled health personnel (%),67.8,173
Bangladesh,2016,Births attended by skilled health personnel (%),49.8,186
Bangladesh,2014,Births attended by skilled health personnel (%),42.1,214
Bangladesh,2013,Births attended by skilled health personnel (%),34.4,227
Bangladesh,2011,Births attended by skilled health personnel (%),31.7,248
Bangladesh,2010,Births attended by skilled health personnel (%),26.5,258
Bangladesh,2007,Births attended by skilled health personnel (%),18,297
Bangladesh,2006,Births attended by skilled health personnel (%),20.1,315
Bangladesh,2003,Births attended by skilled health personnel (%),13.9,395
Barbados,2016,Births attended by skilled health personnel (%),99.1,30
Barbados,2015,Births attended by skilled health personnel (%),99,31
Barbados,2014,Births attended by skilled health personnel (%),99.8,31
Barbados,2013,Births attended by skilled health personnel (%),98.6,32
Barbados,2012,Births attended by skilled health personnel (%),98.9,34
Barbados,2011,Births attended by skilled health personnel (%),100,35
Barbados,2008,Births attended by skilled health personnel (%),100,39
Barbados,2007,Births attended by skilled health personnel (%),100,40
Barbados,2006,Births attended by skilled health personnel (%),100,41
Barbados,2005,Births attended by skilled health personnel (%),100,42
Barbados,2004,Births attended by skilled health personnel (%),100,43
Barbados,2003,Births attended by skilled health personnel (%),100,45
Barbados,2002,Births attended by skilled health personnel (%),100,47
Barbados,2000,Births attended by skilled health personnel (%),98,50
Belarus,2014,Births attended by skilled health personnel (%),99.8,3
Belarus,2013,Births attended by skilled health personnel (%),99.8,3
Belarus,2012,Births attended by skilled health personnel (%),99.8,4
Belarus,2011,Births attended by skilled health personnel (%),99.8,5
Belarus,2010,Births attended by skilled health personnel (%),99.9,5
Belarus,2009,Births attended by skilled health personnel (%),99.9,6
Belarus,2008,Births attended by skilled health personnel (%),99.9,6
Belarus,2007,Births attended by skilled health personnel (%),99.9,7
Belarus,2006,Births attended by skilled health personnel (%),99.9,9
Belarus,2005,Births attended by skilled health personnel (%),99.9,11
Belarus,2004,Births attended by skilled health personnel (%),99.9,13
Belarus,2003,Births attended by skilled health personnel (%),99.9,15
Belarus,2002,Births attended by skilled health personnel (%),99.9,18
Belarus,2001,Births attended by skilled health personnel (%),99.9,19
Belarus,2000,Births attended by skilled health personnel (%),99.9,22
Belize,2017,Births attended by skilled health personnel (%),94,36
Belize,2016,Births attended by skilled health personnel (%),94.4,39
Belize,2015,Births attended by skilled health personnel (%),89,43
Belize,2013,Births attended by skilled health personnel (%),94.2,48
Belize,2011,Births attended by skilled health personnel (%),96.2,52
Belize,2010,Births attended by skilled health personnel (%),94,54
Belize,2009,Births attended by skilled health personnel (%),93.5,57
Belize,2008,Births attended by skilled health personnel (%),94.9,59
Belize,2007,Births attended by skilled health personnel (%),90.7,61
Belize,2006,Births attended by skilled health personnel (%),95.8,65
Benin,2014,Births attended by skilled health personnel (%),77.2,432
Benin,2012,Births attended by skilled health personnel (%),80.9,450
Benin,2006,Births attended by skilled health personnel (%),74,493
Bhutan,2017,Births attended by skilled health personnel (%),97.2,183
Bhutan,2016,Births attended by skilled health personnel (%),89,193
Bhutan,2015,Births attended by skilled health personnel (%),89,203
Bhutan,2014,Births attended by skilled health personnel (%),89,214
Bhutan,2013,Births attended by skilled health personnel (%),89,223
Bhutan,2012,Births attended by skilled health personnel (%),81,231
Bhutan,2011,Births attended by skilled health personnel (%),70,239
Bhutan,2010,Births attended by skilled health personnel (%),64.5,247
Bhutan,2009,Births attended by skilled health personnel (%),66,255
Bhutan,2008,Births attended by skilled health personnel (%),66.3,264
Bhutan,2007,Births attended by skilled health personnel (%),53.6,275
Bhutan,2006,Births attended by skilled health personnel (%),57.1,291
Bhutan,2005,Births attended by skilled health personnel (%),52.3,310
Bhutan,2003,Births attended by skilled health personnel (%),56.1,348
Bolivia (Plurinational State of),2017,Births attended by skilled health personnel (%),99.5,155
Bolivia (Plurinational State of),2016,Births attended by skilled health personnel (%),89.8,161
Bolivia (Plurinational State of),2015,Births attended by skilled health personnel (%),72.8,168
Bolivia (Plurinational State of),2013,Births attended by skilled health personnel (%),73.5,184
Bolivia (Plurinational State of),2012,Births attended by skilled health personnel (%),84.8,192
Bolivia (Plurinational State of),2011,Births attended by skilled health personnel (%),84,202
Bolivia (Plurinational State of),2008,Births attended by skilled health personnel (%),71.1,234
Bosnia and Herzegovina,2017,Births attended by skilled health personnel (%),99.9,10
Bosnia and Herzegovina,2016,Births attended by skilled health personnel (%),99.9,10
Bosnia and Herzegovina,2015,Births attended by skilled health personnel (%),99.9,10
Bosnia and Herzegovina,2014,Births attended by skilled health personnel (%),99.9,10
Bosnia and Herzegovina,2012,Births attended by skilled health personnel (%),99.9,10
Bosnia and Herzegovina,2011,Births attended by skilled health personnel (%),99.9,10
Bosnia and Herzegovina,2010,Births attended by skilled health personnel (%),99.9,11
Bosnia and Herzegovina,2009,Births attended by skilled health personnel (%),99.9,11
Bosnia and Herzegovina,2008,Births attended by skilled health personnel (%),99.9,11
Bosnia and Herzegovina,2007,Births attended by skilled health personnel (%),99.9,13
Bosnia and Herzegovina,2006,Births attended by skilled health personnel (%),99.9,13
Bosnia and Herzegovina,2005,Births attended by skilled health personnel (%),99.9,13
Bosnia and Herzegovina,2004,Births attended by skilled health personnel (%),99.9,14
Bosnia and Herzegovina,2003,Births attended by skilled health personnel (%),99.9,14
Bosnia and Herzegovina,2002,Births attended by skilled health personnel (%),99.9,14
Bosnia and Herzegovina,2001,Births attended by skilled health personnel (%),99.9,16
Bosnia and Herzegovina,2000,Births attended by skilled health personnel (%),98.9,17
Botswana,2017,Births attended by skilled health personnel (%),99.8,144
Botswana,2016,Births attended by skilled health personnel (%),99.7,151
Botswana,2015,Births attended by skilled health personnel (%),99.7,156
Botswana,2014,Births attended by skilled health personnel (%),99.5,160
Botswana,2013,Births attended by skilled health personnel (%),99.9,164
Botswana,2012,Births attended by skilled health personnel (%),99.8,170
Botswana,2011,Births attended by skilled health personnel (%),99.8,176
Botswana,2010,Births attended by skilled health personnel (%),99.1,179
Botswana,2009,Births attended by skilled health personnel (%),99.5,189
Botswana,2008,Births attended by skilled health personnel (%),98.3,203
Botswana,2007,Births attended by skilled health personnel (%),94.6,209
Botswana,2006,Births attended by skilled health personnel (%),99.3,221
Botswana,2005,Births attended by skilled health personnel (%),94,239
Botswana,2004,Births attended by skilled health personnel (%),97.3,264
Botswana,2003,Births attended by skilled health personnel (%),96.1,278
Botswana,2002,Births attended by skilled health personnel (%),96.5,278
Botswana,2001,Births attended by skilled health personnel (%),92,271
Botswana,2000,Births attended by skilled health personnel (%),97.3,262
Brazil,2017,Births attended by skilled health personnel (%),99.1,60
Brazil,2016,Births attended by skilled health personnel (%),99.1,62
Brazil,2015,Births attended by skilled health personnel (%),99.1,63
Brazil,2014,Births attended by skilled health personnel (%),99.1,62
Brazil,2013,Births attended by skilled health personnel (%),99.1,61
Brazil,2012,Births attended by skilled health personnel (%),99,60
Brazil,2011,Births attended by skilled health personnel (%),99,61
Brazil,2010,Births attended by skilled health personnel (%),98.9,65
Brazil,2009,Births attended by skilled health personnel (%),98.9,69
Brazil,2008,Births attended by skilled health personnel (%),98.8,70
Brazil,2007,Births attended by skilled health personnel (%),98.6,71
Brazil,2006,Births attended by skilled health personnel (%),98.6,72
Brazil,2005,Births attended by skilled health personnel (%),98.6,71
Brazil,2004,Births attended by skilled health personnel (%),98.6,71
Brazil,2003,Births attended by skilled health personnel (%),98.4,70
Brazil,2002,Births attended by skilled health personnel (%),98.5,69
Brazil,2001,Births attended by skilled health personnel (%),98.3,68
Brazil,2000,Births attended by skilled health personnel (%),98.6,69
Brunei Darussalam,2017,Births attended by skilled health personnel (%),99.8,31
Brunei Darussalam,2016,Births attended by skilled health personnel (%),100,31
Brunei Darussalam,2015,Births attended by skilled health personnel (%),100,30
Brunei Darussalam,2014,Births attended by skilled health personnel (%),99.9,29
Brunei Darussalam,2013,Births attended by skilled health personnel (%),99.7,28
Brunei Darussalam,2012,Births attended by skilled health personnel (%),99.8,29
Brunei Darussalam,2011,Births attended by skilled health personnel (%),99.6,28
Brunei Darussalam,2010,Births attended by skilled health personnel (%),99.8,28
Brunei Darussalam,2009,Births attended by skilled health personnel (%),99.8,27
Brunei Darussalam,2008,Births attended by skilled health personnel (%),99.7,27
Brunei Darussalam,2007,Births attended by skilled health personnel (%),99.9,27
Brunei Darussalam,2006,Births attended by skilled health personnel (%),99.6,28
Brunei Darussalam,2005,Births attended by skilled health personnel (%),99.6,29
Brunei Darussalam,2004,Births attended by skilled health personnel (%),99.4,30
Brunei Darussalam,2003,Births attended by skilled health personnel (%),99.4,30
Brunei Darussalam,2002,Births attended by skilled health personnel (%),99.4,29
Brunei Darussalam,2001,Births attended by skilled health personnel (%),99.7,28
Brunei Darussalam,2000,Births attended by skilled health personnel (%),99.2,28
Bulgaria,2015,Births attended by skilled health personnel (%),99.8,10
Bulgaria,2014,Births attended by skilled health personnel (%),99.7,11
Bulgaria,2013,Births attended by skilled health personnel (%),99.7,10
Bulgaria,2010,Births attended by skilled health personnel (%),99.5,12
Bulgaria,2009,Births attended by skilled health personnel (%),99.6,12
Bulgaria,2008,Births attended by skilled health personnel (%),99.6,13
Bulgaria,2007,Births attended by skilled health personnel (%),99.6,13
Bulgaria,2006,Births attended by skilled health personnel (%),99.4,14
Bulgaria,2005,Births attended by skilled health personnel (%),99.4,15
Bulgaria,2004,Births attended by skilled health personnel (%),99.4,16
Bulgaria,2003,Births attended by skilled health personnel (%),99.2,16
Bulgaria,2002,Births attended by skilled health personnel (%),99.2,17
Bulgaria,2001,Births attended by skilled health personnel (%),98.9,18
Bulgaria,2000,Births attended by skilled health personnel (%),99.8,19
Burkina Faso,2015,Births attended by skilled health personnel (%),79.8,343
Burkina Faso,2010,Births attended by skilled health personnel (%),65.9,385
Burkina Faso,2006,Births attended by skilled health personnel (%),53.5,422
Burundi,2017,Births attended by skilled health personnel (%),85.1,548
Burundi,2010,Births attended by skilled health personnel (%),60.3,665
Burundi,2005,Births attended by skilled health personnel (%),31.8,814
Cabo Verde,2017,Births attended by skilled health personnel (%),92.4,58
Cabo Verde,2016,Births attended by skilled health personnel (%),92.6,59
Cabo Verde,2015,Births attended by skilled health personnel (%),91.4,61
Cabo Verde,2014,Births attended by skilled health personnel (%),95.6,62
Cabo Verde,2013,Births attended by skilled health personnel (%),92.3,63
Cabo Verde,2011,Births attended by skilled health personnel (%),98.7,67
Cabo Verde,2010,Births attended by skilled health personnel (%),98.5,70
Cabo Verde,2009,Births attended by skilled health personnel (%),75.6,72
Cabo Verde,2008,Births attended by skilled health personnel (%),74.6,75
Cabo Verde,2007,Births attended by skilled health personnel (%),74.4,78
Cabo Verde,2006,Births attended by skilled health personnel (%),76.4,82
Cabo Verde,2005,Births attended by skilled health personnel (%),75.9,86
Cambodia,2014,Births attended by skilled health personnel (%),89,189
Cambodia,2011,Births attended by skilled health personnel (%),71.7,232
Cambodia,2010,Births attended by skilled health personnel (%),71,248
Cambodia,2005,Births attended by skilled health personnel (%),43.8,351
Cambodia,2004,Births attended by skilled health personnel (%),16.3,378
Cameroon,2014,Births attended by skilled health personnel (%),64.7,564
Cameroon,2011,Births attended by skilled health personnel (%),56.1,589
Cameroon,2006,Births attended by skilled health personnel (%),58.9,658
Canada,2017,Births attended by skilled health personnel (%),97.9,10
Canada,2016,Births attended by skilled health personnel (%),97.8,10
Canada,2015,Births attended by skilled health personnel (%),97.9,11
Canada,2014,Births attended by skilled health personnel (%),97.9,11
Canada,2013,Births attended by skilled health personnel (%),98,11
Canada,2012,Births attended by skilled health personnel (%),98.1,11
Canada,2011,Births attended by skilled health personnel (%),98.4,11
Canada,2010,Births attended by skilled health personnel (%),98.5,11
Canada,2009,Births attended by skilled health personnel (%),98.6,12
Canada,2008,Births attended by skilled health personnel (%),98.7,12
Canada,2007,Births attended by skilled health personnel (%),98.8,11
Canada,2006,Births attended by skilled health personnel (%),98.8,11
Canada,2005,Births attended by skilled health personnel (%),98.8,11
Canada,2004,Births attended by skilled health personnel (%),99,10
Canada,2003,Births attended by skilled health personnel (%),98.9,10
Canada,2002,Births attended by skilled health personnel (%),99.3,10
Canada,2001,Births attended by skilled health personnel (%),99.3,10
Canada,2000,Births attended by skilled health personnel (%),99.3,9
Central African Republic,2010,Births attended by skilled health personnel (%),40,1000
Central African Republic,2008,Births attended by skilled health personnel (%),43.7,1090
Central African Republic,2006,Births attended by skilled health personnel (%),41.4,1170
Chad,2015,Births attended by skilled health personnel (%),24.3,1160
Chad,2010,Births attended by skilled health personnel (%),16.6,1240
Chile,2017,Births attended by skilled health personnel (%),99.8,13
Chile,2016,Births attended by skilled health personnel (%),99.7,13
Chile,2015,Births attended by skilled health personnel (%),99.7,14
Chile,2014,Births attended by skilled health personnel (%),99.8,15
Chile,2013,Births attended by skilled health personnel (%),99.8,16
Chile,2012,Births attended by skilled health personnel (%),99.8,17
Chile,2011,Births attended by skilled health personnel (%),99.8,18
Chile,2010,Births attended by skilled health personnel (%),99.8,20
Chile,2009,Births attended by skilled health personnel (%),99.8,21
Chile,2008,Births attended by skilled health personnel (%),99.8,21
Chile,2007,Births attended by skilled health personnel (%),99.7,23
Chile,2006,Births attended by skilled health personnel (%),99.8,25
Chile,2005,Births attended by skilled health personnel (%),99.8,25
Chile,2004,Births attended by skilled health personnel (%),99.8,27
Chile,2003,Births attended by skilled health personnel (%),97.7,27
Chile,2002,Births attended by skilled health personnel (%),99.8,28
Chile,2001,Births attended by skilled health personnel (%),99.8,32
Chile,2000,Births attended by skilled health personnel (%),99,31
China,2016,Births attended by skilled health personnel (%),99.9,29
China,2015,Births attended by skilled health personnel (%),99.9,30
China,2014,Births attended by skilled health personnel (%),99.9,31
China,2013,Births attended by skilled health personnel (%),99.9,32
China,2012,Births attended by skilled health personnel (%),99.8,33
China,2011,Births attended by skilled health personnel (%),99.7,34
China,2010,Births attended by skilled health personnel (%),99.6,36
China,2009,Births attended by skilled health personnel (%),99.3,37
China,2008,Births attended by skilled health personnel (%),99.1,40
China,2007,Births attended by skilled health personnel (%),98.4,40
China,2006,Births attended by skilled health personnel (%),97.8,42
China,2005,Births attended by skilled health personnel (%),97.5,44
China,2004,Births attended by skilled health personnel (%),97.3,46
China,2003,Births attended by skilled health personnel (%),95.9,48
China,2002,Births attended by skilled health personnel (%),96.7,51
China,2001,Births attended by skilled health personnel (%),97.3,55
China,2000,Births attended by skilled health personnel (%),96.6,59
Colombia,2017,Births attended by skilled health personnel (%),99.3,83
Colombia,2015,Births attended by skilled health personnel (%),99.1,85
Colombia,2014,Births attended by skilled health personnel (%),98.9,85
Colombia,2013,Births attended by skilled health personnel (%),98.7,85
Colombia,2012,Births attended by skilled health personnel (%),98.7,85
Colombia,2011,Births attended by skilled health personnel (%),99.2,84
Colombia,2010,Births attended by skilled health personnel (%),94.8,85
Colombia,2009,Births attended by skilled health personnel (%),98.6,87
Colombia,2008,Births attended by skilled health personnel (%),98.1,84
Colombia,2007,Births attended by skilled health personnel (%),97.8,83
Colombia,2006,Births attended by skilled health personnel (%),97.1,82
Colombia,2005,Births attended by skilled health personnel (%),90.7,83
Colombia,2004,Births attended by skilled health personnel (%),95.6,85
Colombia,2003,Births attended by skilled health personnel (%),95,88
Colombia,2002,Births attended by skilled health personnel (%),94.5,92
Colombia,2001,Births attended by skilled health personnel (%),93.1,93
Colombia,2000,Births attended by skilled health personnel (%),92.9,94
Comoros,2012,Births attended by skilled health personnel (%),82.2,313
Congo,2015,Births attended by skilled health personnel (%),91.2,416
Congo,2012,Births attended by skilled health personnel (%),92.5,468
Congo,2005,Births attended by skilled health personnel (%),83.4,677
Costa Rica,2017,Births attended by skilled health personnel (%),98.7,27
Costa Rica,2016,Births attended by skilled health personnel (%),98.8,28
Costa Rica,2015,Births attended by skilled health personnel (%),90,28
Costa Rica,2014,Births attended by skilled health personnel (%),99.2,29
Costa Rica,2013,Births attended by skilled health personnel (%),99,29
Costa Rica,2012,Births attended by skilled health personnel (%),98.9,29
Costa Rica,2011,Births attended by skilled health personnel (%),98.4,30
Costa Rica,2010,Births attended by skilled health personnel (%),95.3,32
Costa Rica,2009,Births attended by skilled health personnel (%),99.1,29
Costa Rica,2008,Births attended by skilled health personnel (%),99.1,29
Costa Rica,2007,Births attended by skilled health personnel (%),98.7,29
Costa Rica,2006,Births attended by skilled health personnel (%),98.6,35
Costa Rica,2005,Births attended by skilled health personnel (%),98.5,33
Costa Rica,2004,Births attended by skilled health personnel (%),98.5,36
Costa Rica,2003,Births attended by skilled health personnel (%),98.2,37
Costa Rica,2002,Births attended by skilled health personnel (%),98.5,38
Costa Rica,2001,Births attended by skilled health personnel (%),98,37
Costa Rica,2000,Births attended by skilled health personnel (%),98.4,40
Côte d’Ivoire,2016,Births attended by skilled health personnel (%),73.6,636
Côte d’Ivoire,2012,Births attended by skilled health personnel (%),59.4,702
Côte d’Ivoire,2006,Births attended by skilled health personnel (%),56.8,699
Côte d’Ivoire,2005,Births attended by skilled health personnel (%),55.1,704
Côte d’Ivoire,2004,Births attended by skilled health personnel (%),68,709
Croatia,2017,Births attended by skilled health personnel (%),99.9,8
Croatia,2016,Births attended by skilled health personnel (%),99.9,7
Croatia,2015,Births attended by skilled health personnel (%),99.9,8
Croatia,2014,Births attended by skilled health personnel (%),99.9,8
Croatia,2013,Births attended by skilled health personnel (%),99.9,9
Croatia,2012,Births attended by skilled health personnel (%),99.9,8
Croatia,2011,Births attended by skilled health personnel (%),99.9,9
Croatia,2010,Births attended by skilled health personnel (%),99.9,9
Croatia,2009,Births attended by skilled health personnel (%),99.9,9
Croatia,2008,Births attended by skilled health personnel (%),99.9,9
Croatia,2007,Births attended by skilled health personnel (%),99.9,9
Croatia,2006,Births attended by skilled health personnel (%),99.9,9
Croatia,2005,Births attended by skilled health personnel (%),99.9,10
Croatia,2004,Births attended by skilled health personnel (%),99.9,10
Croatia,2003,Births attended by skilled health personnel (%),99.9,10
Croatia,2002,Births attended by skilled health personnel (%),99.9,10
Croatia,2001,Births attended by skilled health personnel (%),99.9,10
Croatia,2000,Births attended by skilled health personnel (%),99.9,11
Cuba,2017,Births attended by skilled health personnel (%),99.9,36
Cuba,2016,Births attended by skilled health personnel (%),99.9,37
Cuba,2015,Births attended by skilled health personnel (%),99.9,38
Cuba,2014,Births attended by skilled health personnel (%),99.9,39
Cuba,2013,Births attended by skilled health personnel (%),99.9,40
Cuba,2012,Births attended by skilled health personnel (%),99.9,39
Cuba,2011,Births attended by skilled health personnel (%),99.9,38
Cuba,2010,Births attended by skilled health personnel (%),99.9,41
Cuba,2009,Births attended by skilled health personnel (%),99.9,40
Cuba,2008,Births attended by skilled health personnel (%),99.9,40
Cuba,2007,Births attended by skilled health personnel (%),99.9,38
Cuba,2006,Births attended by skilled health personnel (%),99.9,38
Cuba,2005,Births attended by skilled health personnel (%),99.9,41
Cuba,2004,Births attended by skilled health personnel (%),99.9,40
Cuba,2003,Births attended by skilled health personnel (%),99.9,41
Cuba,2002,Births attended by skilled health personnel (%),99.9,41
Cuba,2001,Births attended by skilled health personnel (%),99.9,44
Cuba,2000,Births attended by skilled health personnel (%),99.9,46
Cyprus,2017,Births attended by skilled health personnel (%),96,6
